Hugo_Symbol	KRAS	EGFR	pval	or	ci.up	ci.low	adjPval
EGFR	1	68	1.59381846011501e-57	0	0.00112879704548726	0	3.44583551076866e-54
KRAS	157	1	3.6496132854808e-57	Inf	Inf	875.595396852733	3.94523196160474e-54
STK11	38	1	4.9110268739361e-06	21.2337673970973	876.230605019392	3.42029704280388	0.00353921336714995
LRP1B	65	9	2.43467440562405e-05	4.6033393838566	11.3246647937771	2.07625414378446	0.013159415162398
TP53	55	43	0.000125876904083865	0.315241831487143	0.589755764865211	0.165548210735667	0.0544291733258634
SNTG1	23	0	0.000195258147958688	Inf	Inf	2.79413330366128	0.0703580193144473
KEAP1	34	3	0.000780946836613824	5.95429413130055	31.451463578287	1.76695161067056	0.211050882594886
RP1L1	34	3	0.000780946836613824	5.95429413130055	31.451463578287	1.76695161067056	0.211050882594886
MUC16	79	18	0.0011782464647954	2.80064316120769	5.57600882756244	1.45486195463617	0.283040984098629
KMT2D	16	0	0.00359582227139035	Inf	Inf	1.78631247163438	0.777416775074594
EPHA5	24	2	0.00611486828629003	5.92145873005525	53.1986744716495	1.39924557587623	0.969079365598015
ATM	25	2	0.00618702899544893	6.21409254287018	55.6929912160941	1.47423025711439	0.969079365598015
TSHZ3	25	2	0.00618702899544893	6.21409254287018	55.6929912160941	1.47423025711439	0.969079365598015
ZFHX4	59	13	0.00786463289403861	2.53719350490113	5.50493267166651	1.23873599768039	0.969079365598015
BRAF	3	7	0.00951658546635132	0.171306156307453	0.780132455505248	0.0276964088802517	0.969079365598015
C10orf71	1	5	0.0103629574481592	0.0817473960183894	0.75097348119477	0.00170261825022754	0.969079365598015
CYYR1	1	5	0.0103629574481592	0.0817473960183894	0.75097348119477	0.00170261825022754	0.969079365598015
ARHGEF40	2	6	0.0104423048214537	0.134698200541192	0.779151800043188	0.0129784079135256	0.969079365598015
CNTNAP3B	2	6	0.0104423048214537	0.134698200541192	0.779151800043188	0.0129784079135256	0.969079365598015
CD163L1	13	0	0.0112306173322199	Inf	Inf	1.38455522831125	0.969079365598015
MKRN3	13	0	0.0112306173322199	Inf	Inf	1.38455522831125	0.969079365598015
OR2L2	13	0	0.0112306173322199	Inf	Inf	1.38455522831125	0.969079365598015
SPTBN5	13	0	0.0112306173322199	Inf	Inf	1.38455522831125	0.969079365598015
DCDC1	17	1	0.0155870282931076	8.08940690112514	344.494697015898	1.21657037196407	0.969079365598015
GLI3	17	1	0.0155870282931076	8.08940690112514	344.494697015898	1.21657037196407	0.969079365598015
NRXN3	17	1	0.0155870282931076	8.08940690112514	344.494697015898	1.21657037196407	0.969079365598015
ZEB1	12	0	0.0199161773859464	Inf	Inf	1.25441047266357	0.969079365598015
PRDM9	24	3	0.0242671032935455	3.89149605054633	20.9188414709043	1.11953066592841	0.969079365598015
CSMD3	63	17	0.0339472541513542	2.00463544100823	4.0524653286601	1.0277330245648	0.969079365598015
LRRC7	32	6	0.0343603411917985	2.63545361335828	8.123872381034	1.01439086817417	0.969079365598015
ARHGEF6	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
CACNA2D3	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
CAPN6	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
MAGEC3	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
PCDHGB3	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
PLG	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
PRB2	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
RNF17	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
VPS13D	10	0	0.0345321585600613	Inf	Inf	0.999793927061416	0.969079365598015
COL4A6	11	0	0.0368978940496295	Inf	Inf	1.12612670557751	0.969079365598015
NOTCH1	11	0	0.0368978940496295	Inf	Inf	1.12612670557751	0.969079365598015
PAPPA	11	0	0.0368978940496295	Inf	Inf	1.12612670557751	0.969079365598015
PLCB4	11	0	0.0368978940496295	Inf	Inf	1.12612670557751	0.969079365598015
TMEM132D	11	0	0.0368978940496295	Inf	Inf	1.12612670557751	0.969079365598015
COL22A1	22	3	0.0381159936867545	3.51533972506744	19.0013030711518	1.0014555973306	0.969079365598015
ZNF831	22	3	0.0381159936867545	3.51533972506744	19.0013030711518	1.0014555973306	0.969079365598015
AFF2	23	3	0.0387010675344444	3.70202523262585	19.9528617107679	1.06004118788531	0.969079365598015
RBFOX1	14	1	0.0428123055892035	6.52465886965514	281.097247782108	0.954441087818059	0.969079365598015
ACAN	15	1	0.0439438429442577	7.03894771591217	301.936239178119	1.04055623938043	0.969079365598015
HSPG2	15	1	0.0439438429442577	7.03894771591217	301.936239178119	1.04055623938043	0.969079365598015
THSD7B	15	1	0.0439438429442577	7.03894771591217	301.936239178119	1.04055623938043	0.969079365598015
RYR2	62	17	0.0476123364815069	1.95224501226576	3.94799983487787	1.00031384790258	0.969079365598015
RB1	5	7	0.0476287502206171	0.28851971650501	1.10187704031887	0.0693469233115232	0.969079365598015
CNTNAP2	31	6	0.0500372155151793	2.53318146662797	7.82377060053049	0.972166750199314	0.969079365598015
DENND2A	3	5	0.0563579848345328	0.247223632830253	1.31389911678898	0.0372781933114188	0.969079365598015
NUP210L	3	5	0.0563579848345328	0.247223632830253	1.31389911678898	0.0372781933114188	0.969079365598015
PLXDC2	3	5	0.0563579848345328	0.247223632830253	1.31389911678898	0.0372781933114188	0.969079365598015
ZNF578	3	5	0.0563579848345328	0.247223632830253	1.31389911678898	0.0372781933114188	0.969079365598015
USH2A	53	14	0.0567982976705918	1.96005990260028	4.18047082133543	0.965481514232732	0.969079365598015
HYDIN	21	3	0.058540715454256	3.33137810946144	18.0638359812949	0.943730575261083	0.969079365598015
NCKAP5	21	3	0.058540715454256	3.33137810946144	18.0638359812949	0.943730575261083	0.969079365598015
